id,length,comment,sentiment
10143,49,ගොනා උඹට බලු කපුටු දානයක් වත් ලැබෙන්නෙ නැහැ බලපන්,negative
10150,46,මල හොල්මන් මල විකාර.සජිත් හිටිය නම් ඒම වෙන් නැ,negative
10153,52,දැන් ඔය නිරෝධායන මධ්යස්ථානවල හරිහමන් ආරක්ෂාවක් නැද්ද,negative
10157,18,ඇයි රටට හොරු පැනලද,negative
10165,73,මම මෙයා දන්නවා කොල්ලා යාලුවෝ දම්මලා හයර් එකට කෙල්ලව වික්කා පස්සෙ 10 ගත්තා,negative
1017,5,ඇත්ත.,positive
10174,42,කෙල්ල පෙග්නන්ට් අපරාදෙ උපදින්න හිටපු මොමඩ්,negative
10175,77,පවු නේද බං අනේ රෙද්ද ඌ ඔතෙන්ට ගියා ආවා කවුරුත් දැක්කෙ නැද්ද උගෙ මොලේ ඇඟ පුරාම,negative
10178,10,මෝඩ නවුපර්,negative
1018,22,අත පය වනන්න එපා කියන්න,neutral
10183,39,කෙල්ලට එක නැතිවෙයි කියල බය හිතෙන්න ඇති.,negative
10189,57,සොමියට ගහලා කරුමෙට ඉපදෙච්ච එකෙක්ගේ කොමන්ට් එක බලපන්. ගොනා,negative
10191,64,සබීතගේ මනුස්සයට මොනවත් වෙලා නෑ දැන් සනීප වෙලා බොහොම හොඳට ඉන්නවා.,positive
10192,37,මොන හොදක්ද බං මොලේ කචල් කියලයි ආරංචිය,negative
10193,71,වචනයේ පරිසමාප්ත අර්ථයෙන්ම ගොනෙක්. නැත්තං නවුෆර් අයියා නිසා මැරෙයිද බං.,negative
10196,95,රෑ එළිවෙනකන් ගිහිං සංගීත සංදර්ශණ වල නටන ගෑණු ළමයි පත්තිනි අම්මල නෙමෙයි. ඒක ඕන මෝඩයෙකුට තේරෙනවා.,negative
10202,39,මේකි අහිංසක පවුලක් විනාශ කරපු හැතිරියක්,negative
10203,41,පොතේ තියෙන්නෙ මෙහෙම අයව කොහොම මරන්න කියලද,negative
10204,73,ලංකාවේ ලස්සන ගෑනුන්ට ආයුෂ නෑ.කැත ගෑනුන්ට තමයි ජිවත් වෙන්න වාසනාව තියෙන්නෙ,negative
10205,51,පොඩි කෙල්ලෝ ගණිකාවෝ දැන්. මාර රටක් ශ්රී ලංකාව දැන්.,negative
10214,77,ප්රභාකරන් සර් ආපහු ඉපදිලා හරි කමක් නෑ රාජපක්ෂ පවුල ඉක්මනට මිහිමතින් වඳවඳකරන්න,negative
10215,62,මෙන්න අද කාරයින්ගේ තත්වය මුන්ගෙ පක්ෂයට මලාට චන්දෙ දෙන්න හොඳ නෑ,negative
10218,23,විශ්වය පුරා විහිදී ගියා,positive
10219,23,විශ්වය පුරා රෙවිලා ගියා,negative
10220,86,ඔන්න ඌ ඇම් ඩයල් ඉන්න තැන බලා ගනිල්ලා බැරි වෙලා හරි මුන්ට රට ගියොත් වෙන දේ හිතා ගනිල්ලා,neutral
10221,93,සිංහයෙක් කියලා තඩි මී හරකෙක් කරේ තියාන ආව හැට නම ලස්සනයක් බයි වහලුන්ට දැන් මොනවා හිතෙනවා ඇතිද,negative
10223,95,උඹ වගේ වහලෙක් නෙමෙයි ගෙවලයො මම එක එක පරයින්ව කරේ තියාන යන්න.පිට කොන්දක් ඇතුව ජීවත් වෙයං මී හරකා,negative
10224,64,කොට කිඹුලා බනිස් බිස්නස් එකේ මුදලාලි උබනිසා ගාන වැඩිකරපන් ලොල්ලො,negative
10226,80,මූ හිතන්නේ ගෝඨාට බනින උන් ඔක්කොම එකතු වෙලා ඉදියප්පමාව ගෙනෙයි කියලා. නූගත් නාකියා,negative
10227,86,අට අසමත් වෙලා වට යති මුදල් ඇමතිලා කට මැත කිය කියා රට කරති මුදලාලිලා. ගිජුලිහිණි සංදේශය,negative
10228,80,මුදලාලි කැමති විදිහට ජීවත්වෙන්න නෙමෙයි අපි වැඩ කරන විරුවෙක් පත් කරගත්තේ දෙයියනේ.,negative
10229,35,කටේ නරි වාදන් රෙද්ද පල්ලෙන් බේරෙනවා,negative
10231,52,හරි එළකිරි මචං. අපි අද රෑ ඉඳන් පස් කන්න පටන් ගන්නම්.,positive
10233,24,මෙහෙමයි මචන් ගෝඨාභය ආවම.,neutral
10239,44,වියත් මගෙ හොදම වියතා සුදු ඕෂදී අක්කි කෝ මෙයා,positive
10241,30,ඔය කමල් කොහොමද වියතුන් මඟ වුණේ,neutral
10242,38,පිරමිඩ් ජාවාරම් කරපු වියතෙකු ත් ඉන්නේ.,negative
10249,45,වියතුන් කිව්වට ඉන්නේ උගත් පල්හොරු සෙට් එකක්නෙ,negative
1025,31,තොරණ හංදිය ස්වයංක්රීය ලාම්පු නෑ,negative
10255,46,අපි තවත් වසර 70 ක් ජෙප්පොන්ට බැන බැන පස්සට යමු,negative
10256,40,1815 දී අපට කරපු දේට සුද්දොන්ටත් බනිමුකෝ,negative
10257,16,චොකා මල්ලි නැද්ද,neutral
10259,45,චොකා මල්ලී ඉන්නවා හිරේ නෙවෙයි පාර්ලිමේන්තුවේ.,negative
10260,46,නංගි පෙන්නලා අක්කා දුන්නා. බයියො අක්කට කැමතියි,negative
10264,61,කෝ ජොනී රත්තරන් මහින්දානන්ද පස් චන්ද්රසේන ඔක්සිජන් චොකා මල්ලි,negative
10265,75,නම වගේම තමා වැඩ. වියතුන් මග වැඩත් මග කයිවාරුව සහ සොරුන් ඉදිරියෙන් බලන් ඉමු.,negative
10269,71,තමාගේ සගයාගේ පාලනය සමයේ රක්ෂිත වනසන කොට හොදියි කියන වියත්මග නොව කියත්මග,negative
10271,37,එකට කටයි පුයි වහ ගෙන ඉන්න කියන්න ඇති.,negative
10272,36,වියත්මගේ නොවියත්තුත් ඉන්නවා මේ ගොඩේ.,negative
10273,29,මෝඩ චූන්. අනේද කියන්නේ බයියෝ.,negative
10277,44,වියත් මගක් කෙසේ වෙතත් පිස්සෝ රැලක් වගේ පේනවා,negative
10279,68,වියත් මග කෙසේ වෙතත් වනානතර ටික ඉවරෙටම ඉවර කරන්න කියත් මග නම් ඉන්නවා.,negative
10280,39,මගේ වියතෙන් නම් මම වන වැඩක් කරන්නේ රෑට.,neutral
10281,35,වියත්මග කොහොම වෙත්ත කාලේ කන්න ඉණිමග,negative
10293,89,අපි කාගෙවත් කරමෙකට යන්න ඔනැ නෑ අඩුපාඩු තිබුනත් ඒව නිවැරදි කරගනිමින් අපේම ක්රමයක් හදාගනිමු,positive
10303,17,හරිම ලස්සන පොතක්.,positive
10309,16,ලැජ්ජාවෙ පන යනවා,negative
10311,54,ඇයි ඉස්සරම නවත්තන්න තිබ්බා නෙ හලාල් බුර්ක එපා කියනකොටම,negative
10312,79,ලංකාවේදී ගෘහ සේවිකාවකට නොලැබෙන නීතියේ සැලකිල්ල කුවේටයේදී ලැබිලා. ආඩම්බරයි සෑර්.,positive
10314,77,එහෙම බෑනේ බන්. මෙහේ රාවණා ලේ කකියන්නේ රාජපක්ෂලාගේ වැරැද්දක් පෙන්නුවොත් විතරයි,negative
1032,55,තොන්ඩගෙ මලගෙදර කාලෙ හැන්ගිලා හිටිය එකා ආපහු එළි බැහැලා.,negative
10322,42,මේ හිනා වැස්ස ලියන එකා නම් නියම අවජාතකයෙක්,negative
10326,24,යුව රජලා මරාගනී ද දන් නෑ,negative
10328,52,තාජුඩීන් මතක් උනා. එයාට ජීවත්වීමේ අයිතිය අහිමි කළ අය,negative
10329,35,69 ලක්ෂ යම පොලිමට යන්න දැන් වදින්න.,neutral
1033,48,පොඩි මිනිහට තග දාන එක තමා මෙයාට තියෙන එකම විනෝදෙ,negative
10332,50,2070 ජනාධිපතිවරණයදි රට බේරගන්න එන රජතුමා උපන්නේ ඔය,positive
10334,28,නාමල් බේබිට තවත් බෙබී කෙනෙක්,neutral
10335,56,අපේ රජ පවුලට සියළු දෙවි රැකවරණයි.අපිට දෙයියන්ගෙම පිහිටයි,positive
10338,25,අපේ ඊලග ඊලග රජතුමා මීට 69,neutral
10339,57,සීයා තාත්තා වගේ හොර පෙරකදොරුවෙක් වෙන්න එපා අලුත උපන් පුතේ,negative
1034,54,යකාේ ඊයෙ 7ද අපේ ගෙවල් ඉස්සරහ පාරෙම ගියා 200කට වැඩිය.,neutral
10340,74,රට බේරගන්න තවත් ටිකිරි කුමාරයෙක් උපන්නා. ප්රීතී ප්රීතී ප්රීතී බොහෝ ප්රීතී.,positive
10343,71,රටේ සල්ලි නේ වියදම් වෙන්නේ. ඉතින් බැරිය අවුරුද්දට එකා ගැනේ පැටව් ගහන්න.,neutral
10344,38,තවත් රාජපක්ෂ කාලකන්නි යෙක් බිහිවු වගයි,negative
10352,92,මිතිල රාජපක්ෂ කියා නම දාන්න. අාච්චි කොහොම කිව්වත් වැඩක් නැහැ දෙයියනේ බව්තීස්ම කරන්න නම් එපා.,neutral
10354,81,කුමාරයෙක් පහල උනා. රටේ වාසනාව. දැන්නම් හිතේ බරක් නැතුව ඇස් දෙක පියා ගන්න පුලුවන්.,positive
1036,19,ගාල්ලෙ එවන් ගම කෑවා,negative
10361,90,බබාට හා අම්මාට නිරෝගී සුවය ලැබේවා. හදපිරි සුබ පැතුම් ඔබ දෙපලට. ගූණවත් ලෙස පුත් රුවන වැඩේවා,positive
10362,102,අපේ පක්ස පාට මොනා උනත් මෙන්න හද පිරි උනුසුම් සුබ පැතුම්. මහින්ද ලොක්ක නම් මැරුවත් එකක් නම් දාන් නෑ වගේ,positive
10364,25,තෙරුවන් සරණයි. සුභ පැතුම්,positive
10368,39,දැන් මහින්ද මුත්තා සීයා නෙමෙයි දෙ සියයි,negative
10373,29,ක්රිඩා ඇමති නියමට කරලා දවසටම.,positive
10375,29,ඩොලර් කාක්කෝ මේක කුමන්ත්රණයක්,negative
10376,91,මේක හරියට නිකන් මළ මිනියකට අන්දපු ඇඳුම මාරු කරනව වගේ වැඩක්. මොන ඇඳුම ඇන්දුවත් පණ එන්නෙ නෑනෙ,negative
10377,76,රනිල් ගේ පවුල් පාලනය රුවන් මගින් කරුගේ පවුල් පාලනය නවීන් මගින් මහින්ද නාමල්.,neutral
10379,54,ඒක ඇත්ත. රොඩී පනික්කි රාජ්ය නායකයෝ වෙලා කරපු හදිය මදිද,negative
10381,57,සජිත් සාර් ටයි අපේ අනුර සහො ටයි නම් ළමයි නැහැ. එක සහනයක්.,positive
10382,46,ඒක හින්දම උන් ආත්මයකට රාජ්ය නායකයෝ වෙන්නේ නැහැ,negative
10383,26,රුවන්ට නායකත්ව ලක්ශන තිබේද,neutral
10385,73,ඔව්ව මොනවද බන්. ඕස්ට්රලියාවේ අගමැති දේශපාලනයට අවෙත් 2008. දැන් එහෙ අගමැති,neutral
10389,9,හරියට හරි,positive
1039,37,බඩු ලාලෝ.උඹ හොද දෙයක් දකින්නේම නැද්ද.,negative
10391,89,හිටපු ආරක්ශක රාජ්ය ඇමති.මිනිස්සු 300 ක් විතර මැරුම් කන්න දීල ගෙදර ගියා.ඉස්සරහටත් ඔච්චරයි.,negative
10393,84,වංශය කබල්ගානවා ඇරෙන්න මිනිහගෙ කිසිම කැපෑසිටියක් නෑ.තනිකර පතෝල. කොටින්ම මෙලෝ රහක් නෑ.,negative
10394,35,කාලා බීලා දවසම නිදියන්න කියාපු බඩුව,neutral
10395,51,මොකද මන්දා ඕක රනිල් හාමු අපේ අනුර සට දුන්නෙ නැත්තෙ.,neutral
10396,78,කෝටි දහයක් චන්දෙට වියදම් කලා කියලා මෙහෙම තනතුරු දෙන්න පුලුවන්ද. අලියා හාන්සියී,neutral
10397,23,කොහොමත් එක සදා හාන්සියි,negative
10398,7,ඒක ඇත්ත,positive
10399,91,තවත් වැඩ බැරි ටාසන් කෙනෙක් තමයි යහපාලන ආරක්ෂක රාජ්ය අමාත්ය මතකනේ ආරක්ෂාවේ තරම. සදා හාන්සියි,negative
10402,53,රනිල් ට අයිති වරප්රසාද බලය මුගෙ බලය නැති වෙන්නේම නැහැ,negative
10406,76,හරිම ආඩම්බරයි පාස්කු ප්රහාරය වෙලාවේ ආරක්ෂක ඇමති.අගමැටි උනොත් රටම රකී නියමෙටම,positive
10407,76,වික්රමසිංහ පරම්පරාවේ ඊලග පුරුක අතිගරු රුවන් මැතිදුන් ටජයවේවා. එජාපය බංග වේවා,negative
1041,55,මේකටත් මොනවහරි කටකෑඩ්ච්ච අප්රබන්ස ලියපල්ලා ගන් කබරයිනේ.,negative
10413,69,ජනවාරි 01 රුවන් එජාප නායක. රනිල් ජාතික ලැයිස්තුවට. කොහොමද ටිකිරි මොළේ,positive
10415,38,ඔය වංස කබල් ගාලා එන නායකයන්ට තැනක් නැ.,negative
1042,88,කඩේ නොගිහින් නීතිය රකිනාවනම් අකුරටම අපි පිලිගන්නම් ඔබ තුමියව නෑතුව කවුරු ආවත් වෑඩක් නෑහෑ,neutral
10423,72,ඔයිට වඩා ඕකට පඹයකු හිටෙව්වා නම් හොඳයි. තනිකර පතෝල. කොටින්ම මෙලෝ රහක් නෑ.,negative
10426,33,විජේවීරගේ පුතාට විතරක් නෝ සැලකුම්,negative
10427,39,තවත් දොන් ජුවන් ධර්මපාල කෙනෙක් අපිට එපා,negative
10441,61,කුලහියන්ට නොදී පන්නා දමපු එක හොදයි. ජයවේ මැතිදුනි. පව් පුචානෝ,positive
10443,63,කවුද එතකොට ඒ හෙළ සක්විති රජ වෙන අර අනෝජ් ද සිල්වා වෙද මහත්තයා ද,neutral
10444,72,මනස්ගාත කියවන්න එපා සහොදරය. එහෙම වෙනව නම් හොඳයි.එත් යථාර්තය එහෙම නොවෙයි.,negative
10449,50,සියලු ඉඩකඩම් වෙන්න බැහැ. රජ කාලේ ඉඳල එන පන්සලක් නේ,neutral
10451,93,අර නාගරාජයාට කියලම මේ එක කරන්න තිබුනෙ. අනේ. අම්මෝ මෙහෙමත් හොරුන්ට සාසනේ ආරක්ෂා කරන්න පුලුවන්ද,negative
10463,81,ආ ඔය එන්නේ බලලා මල්ලෙන් එළියට සිංහල නමක් දාගෙන. ජාතිවාදය අවුස්සන එක තාම මුගේ වැඩේ,negative
10466,83,අද එහෙනම් මිනිස්සු එන්න ඇති බුදුන් වඳින එකත් පැත්තකින් තියල මූ යද්දී සාධුකාර තියන්න,negative
10469,41,අර ආපු නයාගෙ විස්තරෙත් ඕකෙ තියෙනවද ආයිබෝං,neutral
10480,34,හොදට තිබුණු රටක් අපි වැටිච්ච තැනක්,negative
10481,51,ඔකුන්ට ගමේ ඉන්න සිරි පාලට තෙරෙන තරම වත් තෙරෙන්නේ නෑ,negative
10493,37,බිත්තර හදන්න පටන්ගත්තේ 199394 වගේ ඉදං,neutral
10502,48,අපරාදෙ ඔය වගෙ එවා දවසට එක ගානෙ ගහන් ඉන්න තිබ්බා.,negative
10504,73,ඇයි මේ පොඩි කොල්ලා ලොකු හමර් කාර් පදින්න හදන්නේ පොඩ් මිනී කාර් එකක් නොගෙන,neutral
10509,84,සනා ගුවන් සේවිකාවො නිසා නම සවුත්තු කරගෙන කුජීත වුණා. අපි හිතුවෙ මයියා එහෙම නෑ කියල.,negative
10513,31,මුන් බදින්නේ ඔක්කොම ලංසි කෙල්ලෝ,neutral
10517,22,මහමෙව්නාවේ කිරිබතා වගේ,neutral
10518,47,මාකලන්ද කවද්ද බං ලංසි වුණේ ගිහින් මොලේ බලව ගනිං,negative
10519,68,ගොඩක් ලන්සින්ට දැන් සිංහල නම් තියනවා සිංහල එවුන් කසාද බැදල කලවම්වෙලා,negative
1052,85,පාර්ලිමේන්තු පොකුර එනතුරු දෑස් දල්වා බලා සිටිමි. පාර්ලිමේන්තු මරණ පොකුරනම් තවත් හොඳය.,negative
10523,73,සමාජෙ කියන කියන විදිහට කරන්න ගිහින් තමයි ලංකාව හිඟන වහල්ලු වෙලා තියෙන්නෙ.,negative
10525,71,අනුන්ගෙ ජීවිත ගැන උපදෙස් දෙන්න තමුන් කවුද නිකන් වැඩක් බලාගන්නව මනුස්සයො,negative
10527,75,සල්ලි දුක් මහන්සියෙන් හම්බකරන්නෙ නැතුව නිකන්ම හම්බවෙන කොටත් ගෑණු වැඩි වෙනවා,neutral
10528,21,අනිවාර්යයයෙන් සහෝදරයා,positive
10530,48,ටික් ටොක් එකේ ඉන්න කිරි සමන් වගේ පේන්නෙ මට විතරද,negative
10533,88,මේකත් ෆාස්ට් ෆෝවඩ් කෙල්ලෙක්.මහේලයට ඕවා නඩත්තු කරන්න අමාරුයි.සනා වගේ එකෙක්ට තමයි හරියන්නෙ,neutral
10534,40,පවුල පිට යන ගොන් කවඩියාගේ ටෝක් බලපල්ලාකෝ,negative
10535,67,ඒකනෙ උඹේ ගෑනි මාව හොයාගෙන එන්නෙ.පුලුවන් එකෙක්ට බාර දියං ලොල් ගෙවලයො,negative
10536,44,උබ නේද ලංසියො ලංසි ගෑනුන්ව සෙට් කරන්නෙ මෙහෙම,negative
10538,46,උඹ වගේ ලොවන්නේ නැතුව ඒක කරන එක හොදයි නේ ලොල්ලෝ,negative
10539,69,ආ උඹ පිලිගත්තා එහෙනම් උඹ පිම්පි රස්සාවක් කරන්නෙ කියලා. ලැජ්ජයි ලොල්ලො,negative
10541,13,අබ්බගාත ජීවිත,negative
10542,45,අනිවාර්යයෙන්ම මුන්ට මොනවා තිබ්බත් ජීවිතයක් නෑ,negative
10543,47,අපි ඵයාලගෙන්ම අහලා දැනගමු මොකද ඵ්කට හේතුව කියලා,neutral
10546,58,කොමපිට කොහෙන්ද ඒ වගේ වසනාවක්.තියෙන එකම කරගහගෙන ඉන්න එපැයි.,negative
10548,83,ක්රිකට් ගහන උන් යනකොට විතරක් ලස්සන ගුවන් සේවිකාවො දාන්නේ ඇයි ශ්රී ලංකන් සභාපති තුමෝ,negative
10549,58,දික්කසාද වෙන එක නෙමේ බං පිරිමිකම කියන්නේ ඒක රැක ගන්න එකයි,neutral
1055,38,බය වෙන්න දෙයක් නෑ තාම සමාජ ගතවෙලා නෑනේ,positive
10552,49,ඇයව හදුනන බැවින් මෛත්රිය ක්රිස්ටිනාගෙන් උගත්තෙමි.,neutral
10554,64,ගහපු කාලෙ කිසිම බිරිඳක් නොසිටපු තරම් ගෙ බිරිඳ ඔහු පසුපසම හිටියා.,neutral
1056,73,අර ලෝකෙම පලමුවැනි කොරෝ මර්දනයට දීපු සහතිකය ආපහු එවන්න කියලලු ඇත්තද දන්නෑ.,negative
10562,62,මහින්ද බැන්දෙ කතොලිකනෙ නාමල් බෙබේ උනත් වැඩියෙන් අදහන්නෙ කුරුසෙ,neutral
10565,103,ඉතිපිසෝ ගාථව කියවනවන්ම් හොදයි නේද අනේ මෝඩයො ආගම් දර්ශන කියන්නෙ උබලගෙ ගොන් වලට අදාලකරගන්න ඕනෙ දේවල් නෙමෙ,negative
10566,19,ආමෙන් ජේසු පිහිටයි.,positive
10567,92,එහෙනම් යෝෂිනි වගේ ලස්සණ බුඩිස්ට් කෙල්ලොත් කැතලික් ක්රිකටර්ලාස්ල මැරි කරල කුරුස දා ගෙන ඉන්නෙ.,neutral
10574,83,අනේ පව් සල්ලි ටිකක් හොයාගෙන පවුලට කන්න දෙන්නනේ මේ අහිංසක මිනිස්සු මේ වගේ වැඩ කරන්නේ,negative
10575,63,ඇග තෙරපුමට මැරෙද්දි කොච්චර වෙලාවක් කොච්චර වේදනාවක් දැනෙන්න ඇතිද,negative
1058,26,බඩු හරි වගෙයි. අපොඉ අපේ රට,negative
10581,19,පව් අහිංසක මිනිස්සු,negative
10591,52,වැඩේ ගානට දෙන්න යන්නේ. ඔහොම යන් ඔහොම යන් රැස්පට් සක්,positive
10592,42,ඔය අඹරන්නේ ලණුව බැංකු ටිකටත් බඩු බනිස් නේද,negative
10593,42,ලෝක බැංකුවේ එක ගලවන්න කතා කරපු එකා කෝ දැන්,negative
10594,21,අර කලිසම ගලෝගෙන ඉන්නේ,negative
10597,49,බස්වලට බස් ප්රමුඛතා මංතීරුවේම යන්න කියන්න ප්ලීස්.,neutral
1060,27,තවත් පැතිරෙනකන් බලන් ඉන්නවද,negative
10604,47,ඔව් දැන් දඩ ගහ ගහ සල්ලි හොයන්න කාලෙ ඇවිල්ලා වගේ,negative
10607,45,මාර්ග අනතුරු 10 ගත්තොත් 8ක්ම බයිසිකල් අනතුරු.,negative
10608,24,ඔය 8න් 5ක්ම ස්කූටි පෙප්.,neutral
10609,15,යතුරුපැදි මාරයා,negative
10610,81,මෝටර් බයිසිකල් ත්රීවීල් පදින්නෙ අමු 3 සක්කිලි. ඕකුන් පාරෙ යන්නෙ පුදුම හීනමානයෙන්.,negative
10625,15,කියන්නේ කුමක් ද,neutral
10626,74,ළඟ නොපෙනෙන නිසා සියලු කතුන් සිය බිරිඳ පෙම්වතිය හෝ සෙල්ලම් බානඩය ලෙස දැකීම.,negative
10627,93,සියදිවි නසාගැනීම් වලට වැඩි ප්රචාරයක් නොදුන්නොත් හොඳයි.නැත්තං ඕකත් අපේ අම්බරුවො රැල්ලකට ගන්නව.,negative
10630,62,අයිපීසී කියන්නේ නැතිව දණ්ඩ නීති සංග්රහය කීවා නම් කාටත් තේරෙයි.,neutral
10631,41,ළඟදි මෙයාගේ එකක් ලීක් උනා පව් ලස්සන කෙල්ල,negative
10632,103,ඕකනං මොකක්ද අපේ රටේ මිනීමරුවො පාර්ලිමේන්තුවත් නියෝජනය කරන්නේ. මිනීමැරුම් යටගහන්ඩ ලංකාව එක ඉන්දියාව දෙක.,negative
10634,58,කොන්ද පාත් කරලා කරගත්ත වීඩීයෝ එක එලියට ආපු නිසා වෙන්න ඇති.,neutral
10635,19,ශිවානිට කොන්ද පන නෑ,negative
10637,105,ස්වයංවින්දනය කාය එකදිගට කරන්න බැරි වුනාට ස්වයං රූප කාම වින්දනය නොනවත්වා කරගෙන යන්න පුළුවන්. හරිම භයානකයි.,negative
10658,77,නෙදකින් රුපියලක් හරි හම්බකරන්න පුලුවන් දෙයක් කරපියවි කාලකන්නි නිකන් කාලෙ නොකා,negative
10661,40,ඔයා සහ ඔයාගේ නංගි අතර නම් ඒක ලොකු අවුලක්,negative
10662,60,මම එහෙම දෙයක් කියලා නෑනේ. මන් කිව්වෙ බිරිඳට තියන සැකයක් ගැන.,negative
10663,3,මහී,neutral
10664,21,මොකද්ද කියන්නේ නැත්තේ,neutral
10666,51,පිරිමින්ට ඔය ප්රශ්න නැහැ ගැනුන්ට ඕක නොකර ඉන්නම බැහැ,neutral
